zip,domestic_residential_occupancy,single_family_dwellings,two_unit_residential_structures,three_unit_residential_structures,four_unit_residential_structures,five_unit_residential_structures,six_to_12_unit_residential_structures,more_than_12_unit_residential_structures,combination_residential_commercial_structures,commercial_structures,industrial_structures,grand_total,year,NAME,total_population,white,black,native_american,asian,pacific_islander,other_race,two_or_more_races,pct_white,pct_black,pct_asian,pct_native_american,pct_pacific_islander,pct_other_race,pct_two_or_more_races,debt_per_capita,debt_per_1000_people,median_income,log_debt_per_capita,log_income,pct_nonwhite
60611,0,11424.28,596.94,-846.97,1088.47,0,19846.78,472664.58,195143.45,883659.18,22817.99,1606394.7,2022,ZCTA5 60611,35247,23195,1254,29,8400,0,838,1531,0.6580701903708117,0.03557749595710273,0.2383181547365733,8.227650580191222e-4,0,0.02377507305586291,0.04343632082163021,45.57535960507277,45575.35960507277,126812,3.841071637447062,11.750460953731418,0.3419298096291883
60612,6169.78,1255290.09,3130088.08,1998222.6,619518.85,504.74,276807.55,71651.72,1026021.7,-222939.97,81485.02,8242820.16,2022,ZCTA5 60612,34459,9350,19116,208,1454,13,2087,2231,0.2713369511593488,0.5547462201456804,0.04219507240488696,0.00603615891349139,3.772599320932122e-4,0.06056472909834876,0.06474360834615049,239.20659798601235,239206.59798601235,58858,5.481499377986411,10.982883042277106,0.7286630488406511
60613,0,122127.42,203457.11,186696.66,126469.83,970.38,45839.96,170235.37,94114.26,65579.17,14869.34,1030359.5,2022,ZCTA5 60613,51961,38932,3273,214,4363,7,1661,3511,0.7492542483785917,0.06298954985469872,0.0839668212697985,0.00411847347048748,1.347164219318335e-4,0.03196628240411078,0.06756990820038106,19.829477877638997,19829.477877639,92238,3.0363691890748568,11.432127472140655,0.25074575162140833
60614,1963.14,535845.55,216228.18,425810.64,253113.96,6208.88,152148.45,310924.78,380021.16,229068.04,123803.22,2635136,2022,ZCTA5 60614,71701,59085,2664,32,4815,7,1535,3563,0.8240470844200221,0.03715429352449757,0.06715387512029121,4.462978201140849e-4,9.762764814995606e-5,0.02140834855859751,0.04969247290832764,36.75173289075466,36751.73289075466,135364,3.6310313790323114,11.815722725230856,0.17595291557997794
60615,7331.46,814401.41,384274.88,712972.12,611450.56,0,552571.43,1322192.07,170198.16,272842.61,-1832.95,4846401.75,2022,ZCTA5 60615,42780,12515,23118,50,3545,0,634,2918,0.2925432445067789,0.5403927068723703,0.08286582515194016,0.00116877045348293,0,0.01482000935016362,0.06820944366526414,113.28662342215988,113286.62342215989,56518,4.738709533524872,10.9423144504682,0.7074567554932212
60616,2323.95,296745.52,306499.92,229301.14,303317.55,-1.59,40319.64,335227.64,474802.58,417394.79,43515.78,2449446.92,2022,ZCTA5 60616,52707,16764,13206,546,18720,61,1222,2188,0.3180602197051625,0.25055495474984346,0.35517103989982357,0.01035915533041152,0.0011573415295881,0.02318477621568292,0.04151251256948792,46.47289582028952,46472.89582028952,72326,3.8601589338685987,11.188938956226457,0.6819397802948375
60617,5961.09,19693068.1,9022994.5,3254915.17,2286010.71,0,473964.86,351648.35,2195709.64,2259242.46,101794.72,39645309.6,2022,ZCTA5 60617,83188,17654,45463,895,330,20,12604,6222,0.21221810838101648,0.5465091118911382,0.00396691830552483,0.01075876328316584,2.404192912439294e-4,0.15151223734192432,0.07479444150598644,476.5748617589075,476574.8617589075,51203,6.168720926184998,10.843553403061053,0.7877818916189835
60618,85.2,1187479.46,2735624.02,1054693.87,468695.37,1271.56,153907.03,102756,713260.29,472433.27,459865.14,7350071.21,2022,ZCTA5 60618,92235,56478,2621,338,6553,159,13300,12786,0.6123272076760449,0.02841654469561446,0.07104678267468965,0.0036645525017618,0.00172385753781102,0.1441968883829349,0.1386241665311433,79.68852615601453,79688.52615601453,100976,4.390596386183803,11.52263814382402,0.38767279232395513
60619,3444,17311562.21,9713019.41,2846072.69,1762188.04,3984.48,1406710.48,2084158.89,2087703.98,1729710.84,234556.92,39183111.94,2022,ZCTA5 60619,60443,827,56610,174,145,1,1023,1663,0.01368231226113859,0.9365848816240094,0.00239895438677762,0.00287874526413315,1.6544513012259483e-5,0.01692503681154145,0.02751352513938752,648.26550535215,648265.50535215,42802,6.475841732201701,10.664340109450086,0.9863176877388614
60620,3327.01,18450071.76,9043096.95,2218427.1,1709294.15,0,1448419.18,1188562.84,1827180.49,2210107.5,288088.49,38386575.47,2022,ZCTA5 60620,68330,1210,64102,196,502,0,1154,1166,0.01770818088687253,0.9381238109176058,0.00734669983901653,0.0028684326064686,0,0.01688862871359578,0.0170642470364408,561.7821669837552,561782.1669837552,46472,6.332892638497552,10.746605259672368,0.9822918191131275
60621,10729.98,8797247.82,21118813.03,5317631.34,3418773.8,0,1287507.82,1365608.72,1636111.88,1564716.41,40205.95,44557346.75,2022,ZCTA5 60621,26997,742,24980,29,167,0,522,557,0.02748453531873912,0.9252879949624032,0.00618587250435233,0.0010741934288995,0,0.01933548172019113,0.02063192206541467,1650.455485794718,1650455.485794718,30163,7.409412290664809,10.314371286671152,0.9725154646812609
60622,448.17,311868.38,802433.16,805760.42,601477,289.78,107600.22,35561.62,577288.39,398791.56,28696.46,3670215.16,2022,ZCTA5 60622,53944,39242,3341,72,2779,21,2758,5731,0.7274581047011716,0.06193459884324485,0.05151638736467447,0.00133471748479905,3.892925997330565e-4,0.05112709476494142,0.10623980424143556,68.03750481981314,68037.50481981314,119134,4.234649905041725,11.688004188994599,0.27254189529882844
60623,569.45,3668410.16,10179996.72,8365087.09,3011835.29,0,800469.48,966694.4,2667642.22,1896542,133170.43,31690417.24,2022,ZCTA5 60623,76611,19306,20720,919,471,32,21356,13807,0.25200036548276356,0.27045724504314,0.00614794220151153,0.0119956664186605,4.176945869392124e-4,0.27875892495855686,0.1802221613084283,413.6536168435342,413653.6168435342,37814,6.0274435135012405,10.540434683407874,0.7479996345172364
60624,3240.54,2440772.84,9386212.79,5123828.79,2141755.37,0,900768.2,1272770.92,662527.88,870684.92,148579.58,22951141.83,2022,ZCTA5 60624,35664,1950,30775,9,235,0,2076,619,0.05467698519515478,0.8629149842978915,0.00658927770300583,2.5235531628532975e-4,0,0.05820995962314939,0.01735643786451323,643.538072846568,643538.072846568,31768,6.468533894096953,10.366214772811087,0.9453230148048453
60625,796.54,805611.11,1350789.45,581316.15,282382.14,0,120476.8,605934.87,453779.45,408485.51,7398.51,4616970.53,2022,ZCTA5 60625,80296,43243,3571,827,11648,1,8834,12172,0.538544883929461,0.04447295008468666,0.14506326591611038,0.01029939224867988,1.2453920494171563e-5,0.1100179336455116,0.1515891202550563,57.49938390455315,57499.38390455316,83527,4.069016222636254,11.33292521186495,0.461455116070539
60626,640.08,398710.49,370128.41,98996.77,57053.12,0,102307.05,526243.27,333401.18,203952.54,14235.85,2105668.76,2022,ZCTA5 60626,50135,25725,12057,418,3157,0,4167,4611,0.5131145906053655,0.24049067517702205,0.06296998105116186,0.0083374887802932,0,0.08311558791263589,0.09197167647352147,41.99997526677969,41999.97526677969,56145,3.761199540502227,10.935692909006638,0.48688540939463454
60628,3171.26,34543744.14,16260705.11,2397076.97,1771335.56,0,831181.09,684189.33,2308741.74,2666432.39,1215893.1,62682470.69,2022,ZCTA5 60628,61419,2458,56319,56,60,0,1157,1369,0.0400201891922695,0.9169638059883748,9.768964001367654e-4,9.117699734609812e-4,0,0.01883781891597063,0.0222895195297872,1020.571332812322,1020571.3328123218,48601,6.929097243256014,10.791399385808587,0.9599798108077305
60629,980.29,12153599.44,6359288.57,1445458.06,1145889.18,0,1228422.08,192512.49,1095909.03,620948.13,690339.11,24933346.38,2022,ZCTA5 60629,108997,35471,18584,2514,924,208,32331,18965,0.3254309751644541,0.17050010550749103,0.00847729754029927,0.02306485499600906,0.00190830940301109,0.29662284283053664,0.17399561455819884,228.75259300714697,228752.59300714696,53318,5.437003047383846,10.884029264211806,0.6745690248355459
60630,487.4,2220636.07,1414636.67,281582.27,162768.33,0,98388.83,27837.29,134122.93,327454.32,26133.82,4694047.93,2022,ZCTA5 60630,55295,35013,1209,237,7188,44,5853,5751,0.6332037254724658,0.02186454471471199,0.1299936703137716,0.00428610181752418,7.957319830002713e-4,0.10585043855683154,0.10400578714169456,84.8910015372095,84891.00153720951,91135,4.453079068406498,11.420097202659035,0.36679627452753416
60631,238.63,1469124.94,121681.72,14556.22,12702.38,0,51333.51,10516.03,19988.94,-37057.05,4626.58,1667711.9,2022,ZCTA5 60631,30418,24585,406,26,1303,0,1529,2569,0.8082385429679795,0.01334736011572095,0.04283647840094681,8.547570517456769e-4,0,0.05026628969689,0.08445657176671707,54.8264810309685,54826.481030968505,112974,4.0222483272617895,11.634912982724483,0.19176145703202052
60632,665.62,3663295.92,4543847.81,1145845.19,389300.79,0,57446.79,23478.12,886445.68,765035.23,86979.88,11562341.03,2022,ZCTA5 60632,86372,33023,1310,1350,6011,128,27783,16767,0.3823345528643542,0.01516695225304496,0.06959431297179641,0.01563006529893947,0.0014819617468624,0.3216667438521743,0.19412541101282824,133.86677430185708,133866.77430185708,53966,4.904287434151157,10.896109497616806,0.6176654471356458
60633,0,1079923.14,264025.6,11889.94,15506.44,0,19773.01,0,140712.36,163920.09,-269964.95,1425785.63,2022,ZCTA5 60633,12440,5143,3879,15,68,0,2414,921,0.4134244372990354,0.3118167202572347,0.00546623794212218,0.00120578778135048,0,0.19405144694533763,0.07403536977491962,114.6129927652733,114612.9927652733,54956,4.75024834408579,10.914288144043839,0.5865755627009646
60634,1198.96,4847691.31,1217732.89,301038.17,80518.17,0,103103.14,22583.02,260644.09,457246.11,6460.04,7298215.9,2022,ZCTA5 60634,75873,45878,2308,1072,4441,27,13623,8524,0.6046683273364701,0.03041925322578519,0.05853202061339343,0.01412887324871825,3.558578150330157e-4,0.17955003756276935,0.1123456301978306,96.18989495604498,96189.89495604498,82771,4.576666744704475,11.323833037478561,0.39533167266352987
60636,110044.64,17055570.02,16560060.57,3563833.76,1644530.6,0,577357.57,335833.77,1890483.74,981627.08,97136.87,42816478.62,2022,ZCTA5 60636,29833,1346,23494,279,84,65,2879,1686,0.0451178225455033,0.7875171789628934,0.00281567391814433,0.00935205979955083,0.00217879529380216,0.09650387155163744,0.05651459792846847,1435.2052632990312,1435205.2632990312,30451,7.2697596804091145,10.323874113321294,0.9548821774544967
60637,65.7,3187762.31,5554990.7,3370477.87,2581761.58,513.06,952827.9,1830997.77,898662.06,1810581.65,26676.38,20215316.98,2022,ZCTA5 60637,51145,8215,37004,232,2628,0,1332,1734,0.16062176165803108,0.7235115847101379,0.05138332192785219,0.00453612278815133,0,0.02604360152507576,0.03390360739075179,395.2550000977613,395255.0000977613,37247,5.982057943655123,10.525326683651683,0.8393782383419689
60638,4212.05,4498812.89,466644.67,143318.13,58319.58,0,92338.52,-4728.19,62545.97,162128.33,110096.59,5593688.54,2022,ZCTA5 60638,57799,34821,1411,1042,468,41,10348,9668,0.6024498693749026,0.02441218706205989,0.00809702590010207,0.01802799356390249,7.093548331286009e-4,0.1790342393467015,0.16726932991920276,96.778292704026,96778.292704026,85374,4.582702596413341,11.354796883773746,0.39755013062509736
60639,36358.49,3714968.81,5512715.72,1252482.43,407049.39,0,221942.98,53882.92,1390303.35,1132521.09,321230.98,14043456.16,2022,ZCTA5 60639,85248,27485,12212,893,1652,11,28831,14164,0.322412256006006,0.14325262762762764,0.01937875375375375,0.01047531906906906,1.2903528528528528e-4,0.3382014827327327,0.16615052552552553,164.73648836336338,164736.48836336337,54969,5.110399107573432,10.914524668948285,0.677587743993994
60640,561.05,149324.56,274609.83,113899.3,214421.49,501.96,77503.93,1178008.56,233287.43,248297.82,2482.86,2492898.79,2022,ZCTA5 60640,67317,41036,11998,218,6387,17,2554,5107,0.6095934162247277,0.17823135315002153,0.09487945095592495,0.00323840931711157,2.5253650638026057e-4,0.0379398963114815,0.07586493753435239,37.032232422716405,37032.232422716406,69397,3.6384340218401303,11.147598917894847,0.39040658377527226
60641,3698.06,2363040.32,2340864.72,398180.37,248203.4,0,60553.34,295542.02,397967.75,423362.26,290841.79,6822254.03,2022,ZCTA5 60641,68968,35157,2149,595,3697,27,15902,11441,0.5097581487066466,0.03115937826238255,0.05360457023547152,0.00862718942118083,3.914859065073657e-4,0.2305706994548196,0.16588852801299153,98.91912234659551,98919.12234659553,79884,4.604361082217853,11.288330861388705,0.4902418512933534
60642,0,103393.87,80443.44,148478.61,201360.28,2420.37,141074.02,65690.23,362063.81,302135.78,70007.17,1477067.58,2022,ZCTA5 60642,21444,14913,2117,18,1540,0,974,1882,0.6954392837157247,0.09872225331094946,0.07181495989554187,8.393956351426973e-4,0,0.04542063047938817,0.08776347696325312,68.88022663682149,68880.22663682149,137853,4.246782728489296,11.833943179000773,0.3045607162842753
60643,12191.61,16558077.66,2124125.41,646768.25,355972.36,0,263866.57,268555.8,550772.07,427821.35,6433.85,21214584.93,2022,ZCTA5 60643,48270,11188,33996,61,315,23,320,2367,0.2317795732338927,0.7042883778744562,0.00652579241765071,0.00126372488087839,4.7648643049512e-4,0.00662937642428009,0.0490366687383468,439.49834120571785,439498.3412057178,80461,6.087906679661352,11.295527873962465,0.7682204267661072
60644,6974.31,5007883.92,8248246.49,2200677.47,1428265.67,0,778565.89,1400871.88,1478901.34,526105.38,93289.72,21169782.07,2022,ZCTA5 60644,49445,2886,40643,372,432,21,2188,2903,0.05836788350692689,0.8219840226514309,0.00873698048336535,0.00752351097178683,4.2471432905248255e-4,0.04425118818889675,0.0587116998685408,428.1480851451107,428148.08514511073,34177,6.061802046183193,10.439308182191418,0.9416321164930731
60645,0,948554.67,397607.04,319772.6,225807.58,200.76,80851.76,699871.3,91223.44,103427.51,16076.73,2883393.39,2022,ZCTA5 60645,48692,23234,6892,137,6903,2,5744,5780,0.4771625729072538,0.14154275856403517,0.14176866836441304,0.00281360387743366,4.1074509159615545e-5,0.11796599030641584,0.11870533147128892,59.21698410416496,59216.98410416496,73726,4.097954440500324,11.208110797511461,0.5228374270927463
60646,14163.11,1431280.16,289871.23,21842.36,21757.1,0,27405.31,56514.77,37804.98,149811.88,-1019.1,2049431.8,2022,ZCTA5 60646,28770,22446,190,13,3503,0,992,1626,0.7801876955161626,0.00660410149461244,0.12175877650330204,4.518595759471672e-4,0,0.03448036148766076,0.05651720542231491,71.23502954466458,71235.02954466459,112283,4.279925101988869,11.628777749035867,0.21981230448383737
60647,1706.73,1026235.57,2822357.07,1019541.5,690389.34,1719.04,198140.62,135318.51,1007661.65,411536,300023.27,7614629.3,2022,ZCTA5 60647,85685,53954,5499,571,3924,78,7202,14457,0.6296784734784384,0.0641769271167649,0.04579564684600572,0.00666394351403396,9.103110229328352e-4,0.08405205111746514,0.16872264690435898,88.86770496586334,88867.70496586333,97550,4.498338644077742,11.488120346051257,0.3703215265215616
60649,5101.03,6044790.31,2493710.02,1963173.69,1212269.55,657.2,1237686.02,4111966.36,875770.75,1106562.06,62.76,19051749.75,2022,ZCTA5 60649,50143,1983,46471,0,240,27,581,841,0.03954689587778952,0.9267694394033066,0.00478631115011068,0,5.384600043874519e-4,0.01158686157589294,0.01677203198851285,379.94834273976426,379948.34273976425,39862,5.942663782574248,10.593178768122684,0.9604531041222105
60651,26708.07,4938618.77,8741611.09,2455108.85,1302334.58,0,878382.1,266827.76,1452842.44,1173429.7,89272.25,21325135.61,2022,ZCTA5 60651,65229,11569,35502,756,744,0,9871,6787,0.17735976329546674,0.5442671204525594,0.01140596973738674,0.01158993699121556,0,0.15132839687868893,0.10404881264468258,326.92721964157045,326927.21964157047,48532,5.7927916924259435,10.789978653171763,0.8226402367045332
60652,38.59,8603631.77,167347.06,84977.28,13041.27,0,118429.27,16776.62,111326.01,270840.1,-2153.75,9384254.22,2022,ZCTA5 60652,42223,11203,17581,695,436,0,7799,4509,0.2653293228808943,0.41638443502356537,0.01032612557137105,0.0164602231011534,0,0.18470975534661205,0.10679013807640386,222.2545584160292,222254.5584160292,76300,5.4083126379850155,11.242428217272549,0.7346706771191057
60653,0,1138174.99,555576.21,1052991.36,511974.73,91.64,345337.16,844183.88,685572.43,443065.35,1319.44,5578287.19,2022,ZCTA5 60653,34364,2359,29282,278,473,7,510,1455,0.06864742172040507,0.852112676056338,0.01376440460947503,0.00808986148294727,2.037015481317658e-4,0.01484111279245722,0.0423408217902456,162.3293909323711,162329.39093237108,35136,5.095768964996509,10.466981524869203,0.931352578279595
60654,0,3378.71,2446.02,244.43,0,0,23612.6,147237.41,322800.3,478523.02,39698.18,1017940.67,2022,ZCTA5 60654,23475,17023,964,34,2282,0,910,2262,0.7251544195953141,0.04106496272630458,0.097209797657082,0.00144834930777422,0,0.03876464323748668,0.09635782747603834,43.362754845580405,43362.754845580406,138279,3.7924002625733118,11.837028662305622,0.2748455804046859
60655,52.44,2495901.25,94748.47,35657.73,15333.2,0,3821.05,35317.81,24812.77,38735.43,0,2744380.15,2022,ZCTA5 60655,28000,24043,1390,25,274,0,644,1624,0.8586785714285714,0.04964285714285714,0.00978571428571428,8.928571428571428e-4,0,0.023,0.058,98.01357678571428,98013.57678571428,115324,4.595256979981502,11.655500837241668,0.1413214285714286
60656,54.38,1201657.99,94955.03,28848.11,5780.05,0,56107.47,314308.6,3266.66,43989.62,7925.82,1756893.73,2022,ZCTA5 60656,29180,21539,1191,130,3346,0,827,2147,0.7381425633995887,0.04081562714187799,0.11466758053461276,0.00445510623714873,0,0.02834132967786155,0.07357779300891021,60.20883241946539,60208.83241946539,82992,4.114291499684567,11.32649949659118,0.2618574366004113
60657,0,256394.31,247035.34,317943.57,232332.87,345.78,54859.96,118610.82,346968.69,367049.88,30491.22,1972032.44,2022,ZCTA5 60657,71192,57548,2720,68,4711,88,1529,4528,0.8083492527250253,0.03820654006068098,0.0661731655242162,9.551635015170244e-4,0.00123609394313967,0.02147713226205191,0.06360265198336892,27.700197213170014,27700.197213170017,105428,3.3569039942809913,11.565783534458408,0.19165074727497466
